start,end,start_s,end_s,dur_s,peak_dbfs,ref_active,ncc,lag_ms,reason
24:55.63,24:55.64,1495.63,1495.64,0.01,-71.4,1.00,0.000,,gate chatter
24:55.81,24:55.94,1495.81,1495.94,0.13,-58.8,0.90,0.095,76,gate chatter
24:56.25,24:56.96,1496.25,1496.96,0.71,-16.3,0.98,0.032,614,next to bleed cluster
24:57.09,24:57.46,1497.09,1497.46,0.37,-38.8,1.00,0.111,153,gate chatter
24:57.60,24:57.69,1497.60,1497.69,0.09,-45.4,1.00,0.000,,gate chatter
24:57.83,24:58.63,1497.83,1498.63,0.80,-27.8,0.87,0.016,694,"quiet, reference talking"
24:58.86,24:59.01,1498.86,1499.01,0.15,-57.9,0.37,0.055,49,next to bleed cluster
24:59.20,24:59.56,1499.20,1499.56,0.36,-35.3,0.51,0.053,699,gate chatter
24:59.69,25:00.20,1499.69,1500.20,0.51,-27.3,0.92,0.050,491,gate chatter
25:00.47,25:00.51,1500.47,1500.51,0.04,-57.0,0.90,0.000,,gate chatter
25:00.75,25:01.18,1500.75,1501.18,0.43,-29.7,0.85,0.035,505,gate chatter
25:01.32,25:01.35,1501.32,1501.35,0.03,-53.4,0.91,0.000,,gate chatter
25:01.46,25:01.73,1501.46,1501.73,0.27,-40.2,0.98,0.039,54,gate chatter
25:01.85,25:02.15,1501.85,1502.15,0.30,-23.5,0.95,0.031,434,gate chatter
25:02.30,25:02.48,1502.30,1502.48,0.18,-29.9,0.95,0.079,102,gate chatter
25:02.87,25:03.14,1502.87,1503.14,0.27,-35.7,0.89,0.076,121,gate chatter
25:03.45,25:03.46,1503.45,1503.46,0.01,-62.1,1.00,0.000,,gate chatter
25:03.57,25:03.91,1503.57,1503.91,0.34,-25.4,1.00,0.032,290,gate chatter
25:04.17,25:04.64,1504.17,1504.64,0.47,-40.0,0.96,0.029,354,gate chatter
25:05.03,25:05.32,1505.03,1505.32,0.29,-38.9,0.49,0.029,110,gate chatter
25:13.40,25:13.64,1513.40,1513.64,0.24,-33.9,1.00,0.130,406,gate chatter
25:13.80,25:14.93,1513.80,1514.93,1.13,-27.6,0.98,0.051,504,"quiet, reference talking"
25:15.05,25:15.53,1515.05,1515.53,0.48,-31.8,0.97,0.075,128,gate chatter
25:15.84,25:16.91,1515.84,1516.91,1.07,-23.5,0.94,0.022,698,"quiet, reference talking"
25:17.08,25:17.21,1517.08,1517.21,0.13,-44.3,0.76,0.045,0,gate chatter
25:17.52,25:17.61,1517.52,1517.61,0.09,-47.0,0.75,0.000,,gate chatter
25:17.75,25:17.79,1517.75,1517.79,0.04,-62.4,0.93,0.000,,gate chatter
25:17.90,25:18.09,1517.90,1518.09,0.19,-35.5,0.95,0.033,238,gate chatter
25:18.45,25:18.73,1518.45,1518.73,0.28,-27.1,0.90,0.062,355,gate chatter
25:19.17,25:19.22,1519.17,1519.22,0.05,-57.6,0.88,0.000,,gate chatter
26:02.19,26:02.54,1562.19,1562.54,0.35,-50.7,0.96,0.072,194,gate chatter
26:02.66,26:03.43,1562.66,1563.43,0.77,-12.9,0.46,0.224,30,waveform matches reference (ncc 0.22)
26:08.97,26:08.99,1568.97,1568.99,0.02,-79.3,0.79,0.000,,gate chatter
26:09.18,26:09.45,1569.18,1569.45,0.27,-51.9,0.96,0.131,164,gate chatter
26:09.79,26:09.80,1569.79,1569.80,0.01,-79.3,0.95,0.000,,gate chatter
26:10.19,26:10.41,1570.19,1570.41,0.22,-61.8,1.00,0.042,466,gate chatter
26:10.52,26:10.69,1570.52,1570.69,0.17,-70.9,1.00,0.040,113,gate chatter
26:10.98,26:11.38,1570.98,1571.38,0.40,-67.5,0.73,0.041,587,gate chatter
26:11.56,26:11.73,1571.56,1571.73,0.17,-46.2,0.99,0.063,136,gate chatter
26:11.97,26:11.99,1571.97,1571.99,0.02,-55.4,0.98,0.000,,gate chatter
26:12.25,26:12.33,1572.25,1572.33,0.08,-35.9,0.98,0.000,,gate chatter
26:12.75,26:12.96,1572.75,1572.96,0.21,-41.3,1.00,0.031,433,gate chatter
26:13.13,26:13.34,1573.13,1573.34,0.21,-52.3,1.00,0.062,465,gate chatter
26:13.60,26:13.77,1573.60,1573.77,0.17,-39.0,0.97,0.031,89,gate chatter
26:13.92,26:14.01,1573.92,1574.01,0.09,-27.5,0.97,0.000,,gate chatter
26:14.13,26:14.24,1574.13,1574.24,0.11,-31.3,0.97,0.020,410,gate chatter
26:14.77,26:15.82,1574.77,1575.82,1.05,-24.1,0.75,0.044,523,"quiet, reference talking"
26:15.93,26:16.08,1575.93,1576.08,0.15,-43.3,0.86,0.065,272,gate chatter
26:16.49,26:17.56,1576.49,1577.56,1.07,-28.0,0.83,0.019,525,"quiet, reference talking"
26:22.76,26:23.33,1582.76,1583.33,0.57,-36.3,1.00,0.041,0,gate chatter
26:23.49,26:23.64,1583.49,1583.64,0.15,-30.3,0.94,0.022,253,gate chatter
26:24.14,26:24.51,1584.14,1584.51,0.37,-29.5,0.82,0.038,575,gate chatter
26:24.67,26:25.00,1584.67,1585.00,0.33,-23.4,0.90,0.063,188,gate chatter
26:25.15,26:25.35,1585.15,1585.35,0.20,-38.9,0.88,0.036,631,gate chatter
26:25.75,26:25.80,1585.75,1585.80,0.05,-49.3,0.90,0.000,,gate chatter
26:26.26,26:26.67,1586.26,1586.67,0.41,-17.0,1.00,0.017,697,next to bleed cluster
26:27.73,26:27.80,1587.73,1587.80,0.07,-37.0,0.92,0.000,,gate chatter
26:44.77,26:44.90,1604.77,1604.90,0.13,-28.2,1.00,0.053,510,gate chatter
28:31.68,28:31.95,1711.68,1711.95,0.27,-46.4,0.06,0.000,,next to bleed cluster
28:32.10,28:32.16,1712.10,1712.16,0.06,-44.8,0.36,0.000,,next to bleed cluster
28:32.30,28:32.37,1712.30,1712.37,0.07,-53.0,0.69,0.000,,gate chatter
28:32.50,28:32.72,1712.50,1712.72,0.22,-54.6,0.95,0.076,202,gate chatter
28:33.38,28:33.48,1713.38,1713.48,0.10,-37.3,0.83,0.034,412,gate chatter
28:33.80,28:33.84,1713.80,1713.84,0.04,-61.8,0.81,0.000,,gate chatter
28:34.04,28:34.10,1714.04,1714.10,0.06,-54.4,0.95,0.000,,gate chatter
28:34.41,28:34.63,1714.41,1714.63,0.22,-37.7,0.86,0.044,14,gate chatter
28:35.22,28:35.32,1715.22,1715.32,0.10,-47.3,1.00,0.077,33,gate chatter
28:35.59,28:35.60,1715.59,1715.60,0.01,-68.3,1.00,0.000,,gate chatter
28:35.71,28:35.80,1715.71,1715.80,0.09,-50.5,1.00,0.000,,gate chatter
29:18.62,29:18.86,1758.62,1758.86,0.24,-54.3,0.97,0.079,295,gate chatter
29:18.97,29:19.58,1758.97,1759.58,0.61,-14.1,0.80,0.080,363,next to bleed cluster
29:56.03,29:56.19,1796.03,1796.19,0.16,-35.9,0.99,0.019,430,gate chatter
29:56.40,29:56.65,1796.40,1796.65,0.25,-42.7,1.00,0.076,11,gate chatter
29:56.81,29:56.82,1796.81,1796.82,0.01,-77.2,1.00,0.000,,gate chatter
29:58.00,29:58.12,1798.00,1798.12,0.12,-37.3,0.63,0.036,355,gate chatter
29:58.36,29:58.62,1798.36,1798.62,0.26,-37.5,0.91,0.025,604,gate chatter
29:58.81,29:58.96,1798.81,1798.96,0.15,-49.4,0.99,0.072,102,gate chatter
29:59.57,29:59.72,1799.57,1799.72,0.15,-63.9,0.91,0.070,519,gate chatter
30:00.00,30:00.05,1800.00,1800.05,0.05,-53.4,0.95,0.000,,gate chatter
30:00.22,30:00.29,1800.22,1800.29,0.07,-42.9,0.90,0.000,,gate chatter
30:15.95,30:16.09,1815.95,1816.09,0.14,-42.7,0.99,0.086,652,gate chatter
30:16.77,30:17.13,1816.77,1817.13,0.36,-34.3,0.93,0.025,592,gate chatter
30:17.37,30:17.51,1817.37,1817.51,0.14,-46.9,0.96,0.028,233,gate chatter
30:17.62,30:18.34,1817.62,1818.34,0.72,-39.2,0.98,0.108,678,"quiet, reference talking"
30:18.57,30:18.77,1818.57,1818.77,0.20,-40.0,0.80,0.070,244,gate chatter
30:19.02,30:19.09,1819.02,1819.09,0.07,-55.7,0.68,0.000,,gate chatter
30:20.03,30:20.14,1820.03,1820.14,0.11,-36.2,1.00,0.061,697,gate chatter
30:20.26,30:20.54,1820.26,1820.54,0.28,-39.0,0.96,0.074,365,gate chatter
30:20.65,30:21.43,1820.65,1821.43,0.78,-34.6,0.96,0.028,31,"quiet, reference talking"
30:22.01,30:22.07,1822.01,1822.07,0.06,-62.0,1.00,0.000,,gate chatter
30:22.24,30:22.27,1822.24,1822.27,0.03,-66.5,1.00,0.000,,gate chatter
30:22.41,30:22.51,1822.41,1822.51,0.10,-64.6,1.00,0.111,274,gate chatter
30:22.62,30:22.72,1822.62,1822.72,0.10,-63.1,0.97,0.099,655,gate chatter
30:22.83,30:22.86,1822.83,1822.86,0.03,-62.7,0.93,0.000,,gate chatter
30:23.05,30:23.06,1823.05,1823.06,0.01,-68.0,0.93,0.000,,gate chatter
30:23.23,30:23.35,1823.23,1823.35,0.12,-65.3,0.93,0.096,33,gate chatter
30:23.55,30:23.57,1823.55,1823.57,0.02,-64.4,0.82,0.000,,gate chatter
30:23.92,30:23.93,1823.92,1823.93,0.01,-62.3,0.64,0.000,,gate chatter
30:24.06,30:24.09,1824.06,1824.09,0.03,-62.3,0.71,0.000,,gate chatter
30:24.31,30:24.36,1824.31,1824.36,0.05,-67.7,1.00,0.000,,gate chatter
30:24.50,30:24.53,1824.50,1824.53,0.03,-64.0,1.00,0.000,,gate chatter
30:24.71,30:24.73,1824.71,1824.73,0.02,-66.0,1.00,0.000,,gate chatter
30:24.91,30:24.96,1824.91,1824.96,0.05,-64.2,0.92,0.000,,gate chatter
30:25.21,30:25.23,1825.21,1825.23,0.02,-69.4,0.89,0.000,,gate chatter
30:25.43,30:25.76,1825.43,1825.76,0.33,-27.6,0.98,0.045,403,gate chatter
31:05.75,31:06.70,1865.75,1866.70,0.95,-38.8,0.75,0.054,361,"quiet, reference talking"
31:08.14,31:08.28,1868.14,1868.28,0.14,-57.3,0.99,0.043,59,gate chatter
