start,end,start_s,end_s,dur_s,peak_dbfs,ref_active,ncc,lag_ms,reason
63:28.97,63:29.04,3808.97,3809.04,0.07,-49.6,1.00,0.000,,gate chatter
63:33.06,63:34.20,3813.06,3814.20,1.14,-42.3,0.93,0.018,199,"quiet, reference talking"
63:34.59,63:35.57,3814.59,3815.57,0.98,-34.1,0.98,0.018,78,"quiet, reference talking"
63:35.74,63:35.96,3815.74,3815.96,0.22,-50.2,1.00,0.046,76,gate chatter
63:36.20,63:36.26,3816.20,3816.26,0.06,-70.5,0.95,0.000,,gate chatter
63:36.38,63:37.23,3816.38,3817.23,0.85,-23.3,0.98,0.018,555,"quiet, reference talking"
63:37.67,63:37.75,3817.67,3817.75,0.08,-61.7,0.84,0.000,,gate chatter
63:37.94,63:38.15,3817.94,3818.15,0.21,-56.2,0.89,0.081,157,gate chatter
63:38.36,63:38.74,3818.36,3818.74,0.38,-37.6,0.97,0.019,3,gate chatter
63:38.96,63:39.35,3818.96,3819.35,0.39,-49.8,1.00,0.094,339,gate chatter
63:39.82,63:39.95,3819.82,3819.95,0.13,-49.8,1.00,0.102,5,gate chatter
63:40.26,63:40.52,3820.26,3820.52,0.26,-42.4,1.00,0.045,586,gate chatter
63:40.88,63:41.15,3820.88,3821.15,0.27,-45.1,0.93,0.030,535,gate chatter
63:41.39,63:41.70,3821.39,3821.70,0.31,-31.9,0.97,0.141,676,gate chatter
63:41.87,63:42.99,3821.87,3822.99,1.12,-29.2,0.98,0.046,655,"quiet, reference talking"
63:59.11,63:59.12,3839.11,3839.12,0.01,-80.9,1.00,0.000,,gate chatter
63:59.29,63:59.30,3839.29,3839.30,0.01,-82.8,1.00,0.000,,gate chatter
63:59.61,64:00.04,3839.61,3840.04,0.43,-49.7,0.99,0.046,258,gate chatter
64:00.20,64:00.23,3840.20,3840.23,0.03,-74.9,1.00,0.000,,gate chatter
64:00.53,64:00.57,3840.53,3840.57,0.04,-54.8,1.00,0.000,,gate chatter
64:00.86,64:02.23,3840.86,3842.23,1.37,-25.7,0.94,0.110,533,sustained low level under reference
64:31.54,64:31.56,3871.54,3871.56,0.02,-68.4,0.75,0.000,,gate chatter
64:31.73,64:32.00,3871.73,3872.00,0.27,-37.9,0.99,0.031,289,gate chatter
64:32.14,64:32.68,3872.14,3872.68,0.54,-36.8,0.96,0.028,66,gate chatter
64:32.79,64:33.03,3872.79,3873.03,0.24,-27.2,0.92,0.019,114,gate chatter
64:33.21,64:34.35,3873.21,3874.35,1.14,-40.8,0.92,0.012,536,"quiet, reference talking"
64:34.49,64:34.73,3874.49,3874.73,0.24,-49.1,0.72,0.024,396,gate chatter
64:34.89,64:34.90,3874.89,3874.90,0.01,-71.3,0.75,0.000,,gate chatter
64:35.09,64:35.35,3875.09,3875.35,0.26,-44.2,0.89,0.021,464,gate chatter
64:35.49,64:35.56,3875.49,3875.56,0.07,-53.7,1.00,0.000,,gate chatter
64:35.99,64:36.12,3875.99,3876.12,0.13,-35.8,0.97,0.018,25,gate chatter
64:36.27,64:36.34,3876.27,3876.34,0.07,-51.2,1.00,0.000,,gate chatter
64:37.21,64:37.30,3877.21,3877.30,0.09,-31.7,0.89,0.000,,gate chatter
64:37.64,64:37.66,3877.64,3877.66,0.02,-75.7,0.84,0.000,,gate chatter
64:37.87,64:37.97,3877.87,3877.97,0.10,-38.6,0.80,0.036,104,gate chatter
64:38.73,64:38.79,3878.73,3878.79,0.06,-59.5,1.00,0.000,,gate chatter
64:39.85,64:39.92,3879.85,3879.92,0.07,-55.3,1.00,0.000,,gate chatter
64:40.31,64:40.58,3880.31,3880.58,0.27,-31.5,1.00,0.043,543,gate chatter
64:40.73,64:41.19,3880.73,3881.19,0.46,-32.5,1.00,0.103,160,gate chatter
64:41.36,64:41.51,3881.36,3881.51,0.15,-52.9,1.00,0.039,32,gate chatter
64:41.75,64:42.16,3881.75,3882.16,0.41,-33.5,0.96,0.047,145,gate chatter
64:42.34,64:42.69,3882.34,3882.69,0.35,-46.1,0.64,0.073,41,gate chatter
64:42.83,64:42.88,3882.83,3882.88,0.05,-70.3,0.58,0.000,,gate chatter
64:43.16,64:43.17,3883.16,3883.17,0.01,-66.3,1.00,0.000,,gate chatter
64:43.44,64:44.97,3883.44,3884.97,1.53,-38.7,0.98,0.031,165,sustained low level under reference
64:45.33,64:45.35,3885.33,3885.35,0.02,-61.7,0.98,0.000,,gate chatter
64:45.50,64:45.68,3885.50,3885.68,0.18,-46.4,0.99,0.092,354,gate chatter
64:45.90,64:46.50,3885.90,3886.50,0.60,-37.0,1.00,0.018,20,gate chatter
64:46.61,64:46.76,3886.61,3886.76,0.15,-60.5,1.00,0.067,105,gate chatter
64:47.01,64:47.04,3887.01,3887.04,0.03,-75.8,0.98,0.000,,gate chatter
64:47.15,64:47.26,3887.15,3887.26,0.11,-35.5,0.98,0.027,566,gate chatter
64:47.67,64:48.17,3887.67,3888.17,0.50,-39.6,0.90,0.100,384,gate chatter
64:48.50,64:48.62,3888.50,3888.62,0.12,-37.5,0.93,0.018,173,gate chatter
64:48.98,64:49.02,3888.98,3889.02,0.04,-60.5,1.00,0.000,,gate chatter
64:49.25,64:49.33,3889.25,3889.33,0.08,-45.9,1.00,0.000,,gate chatter
64:49.69,64:50.55,3889.69,3890.55,0.86,-33.1,1.00,0.042,43,"quiet, reference talking"
64:51.26,64:51.59,3891.26,3891.59,0.33,-42.0,1.00,0.048,527,gate chatter
64:51.78,64:51.87,3891.78,3891.87,0.09,-63.5,1.00,0.000,,gate chatter
64:52.01,64:52.65,3892.01,3892.65,0.64,-32.9,0.95,0.023,430,"quiet, reference talking"
64:52.78,64:53.03,3892.78,3893.03,0.25,-29.3,0.95,0.028,189,gate chatter
64:53.16,64:53.60,3893.16,3893.60,0.44,-42.1,1.00,0.023,276,gate chatter
64:53.73,64:54.32,3893.73,3894.32,0.59,-47.6,0.96,0.047,624,gate chatter
64:54.49,64:54.56,3894.49,3894.56,0.07,-36.3,0.92,0.000,,gate chatter
64:54.94,64:55.81,3894.94,3895.81,0.87,-35.2,0.97,0.076,211,"quiet, reference talking"
64:56.60,64:57.21,3896.60,3897.21,0.61,-31.4,0.93,0.020,98,"quiet, reference talking"
64:57.48,64:57.80,3897.48,3897.80,0.32,-40.6,0.99,0.051,19,gate chatter
64:58.41,64:59.89,3898.41,3899.89,1.48,-33.3,0.85,0.024,35,sustained low level under reference
65:00.02,65:00.46,3900.02,3900.46,0.44,-36.3,0.99,0.039,370,gate chatter
65:04.82,65:05.91,3904.82,3905.91,1.09,-32.1,0.49,0.074,258,"quiet, reference talking"
65:33.52,65:33.79,3933.52,3933.79,0.27,-40.2,0.95,0.030,309,gate chatter
65:33.90,65:34.10,3933.90,3934.10,0.20,-60.0,0.95,0.043,545,gate chatter
65:34.30,65:34.35,3934.30,3934.35,0.05,-47.2,1.00,0.000,,gate chatter
65:34.87,65:35.96,3934.87,3935.96,1.09,-34.3,0.90,0.053,18,"quiet, reference talking"
65:36.25,65:36.26,3936.25,3936.26,0.01,-73.5,0.82,0.000,,gate chatter
65:36.78,65:36.91,3936.78,3936.91,0.13,-40.3,1.00,0.023,99,gate chatter
65:37.34,65:37.41,3937.34,3937.41,0.07,-56.3,0.95,0.000,,gate chatter
65:37.67,65:37.88,3937.67,3937.88,0.21,-31.1,0.99,0.057,149,gate chatter
65:38.00,65:38.14,3938.00,3938.14,0.14,-50.6,1.00,0.066,437,gate chatter
65:38.51,65:38.76,3938.51,3938.76,0.25,-34.2,1.00,0.037,77,gate chatter
65:38.87,65:38.89,3938.87,3938.89,0.02,-70.8,1.00,0.000,,gate chatter
65:39.06,65:39.26,3939.06,3939.26,0.20,-41.4,1.00,0.029,431,gate chatter
66:09.60,66:09.76,3969.60,3969.76,0.16,-65.0,1.00,0.064,316,gate chatter
71:06.45,71:06.54,4266.45,4266.54,0.09,-52.4,0.48,0.000,,gate chatter
71:08.22,71:08.46,4268.22,4268.46,0.24,-40.6,0.99,0.065,255,gate chatter
71:08.69,71:08.73,4268.69,4268.73,0.04,-66.0,1.00,0.000,,gate chatter
71:09.02,71:09.05,4269.02,4269.05,0.03,-60.2,0.93,0.000,,gate chatter
71:09.55,71:09.85,4269.55,4269.85,0.30,-47.1,0.92,0.052,53,gate chatter
71:10.29,71:10.39,4270.29,4270.39,0.10,-55.0,0.98,0.080,424,gate chatter
71:10.54,71:10.97,4270.54,4270.97,0.43,-42.3,1.00,0.035,374,gate chatter
71:11.15,71:11.17,4271.15,4271.17,0.02,-65.6,0.88,0.000,,gate chatter
71:17.77,71:17.80,4277.77,4277.80,0.03,-64.1,1.00,0.000,,gate chatter
73:01.45,73:01.86,4381.45,4381.86,0.41,-24.9,0.94,0.200,107,gate chatter
73:09.16,73:09.41,4389.16,4389.41,0.25,-55.0,1.00,0.029,115,gate chatter
73:09.96,73:10.07,4389.96,4390.07,0.11,-69.8,0.76,0.102,3,gate chatter
73:11.60,73:11.75,4391.60,4391.75,0.15,-65.8,1.00,0.024,469,gate chatter
73:12.23,73:12.33,4392.23,4392.33,0.10,-74.4,0.95,0.046,420,gate chatter
73:13.22,73:13.31,4393.22,4393.31,0.09,-59.6,1.00,0.000,,gate chatter
73:13.60,73:14.00,4393.60,4394.00,0.40,-59.1,1.00,0.036,41,gate chatter
74:06.39,74:06.62,4446.39,4446.62,0.23,-59.3,1.00,0.029,108,gate chatter
74:07.11,74:07.21,4447.11,4447.21,0.10,-53.9,0.69,0.062,159,gate chatter
74:07.38,74:07.92,4447.38,4447.92,0.54,-46.4,0.82,0.031,417,gate chatter
74:08.03,74:08.31,4448.03,4448.31,0.28,-35.5,0.98,0.055,451,gate chatter
74:08.47,74:08.51,4448.47,4448.51,0.04,-73.5,0.97,0.000,,gate chatter
74:08.94,74:09.12,4448.94,4449.12,0.18,-49.8,1.00,0.095,682,gate chatter
74:09.24,74:09.86,4449.24,4449.86,0.62,-44.0,1.00,0.030,263,"quiet, reference talking"
74:09.98,74:10.20,4449.98,4450.20,0.22,-32.1,1.00,0.066,698,gate chatter
74:11.31,74:11.80,4451.31,4451.80,0.49,-35.6,0.96,0.028,653,gate chatter
74:11.92,74:12.26,4451.92,4452.26,0.34,-31.7,1.00,0.027,454,gate chatter
74:28.40,74:28.61,4468.40,4468.61,0.21,-43.0,1.00,0.025,607,gate chatter
74:28.88,74:28.99,4468.88,4468.99,0.11,-41.1,1.00,0.017,372,gate chatter
74:29.10,74:29.23,4469.10,4469.23,0.13,-57.5,1.00,0.027,313,gate chatter
74:29.97,74:30.02,4469.97,4470.02,0.05,-60.8,1.00,0.000,,gate chatter
74:30.33,74:30.38,4470.33,4470.38,0.05,-42.1,0.97,0.000,,gate chatter
74:30.85,74:30.94,4470.85,4470.94,0.09,-47.7,0.95,0.000,,gate chatter
74:31.08,74:31.14,4471.08,4471.14,0.06,-58.4,1.00,0.000,,gate chatter
74:31.85,74:31.89,4471.85,4471.89,0.04,-60.9,0.92,0.000,,gate chatter
74:32.05,74:32.46,4472.05,4472.46,0.41,-33.5,0.95,0.069,431,gate chatter
74:32.68,74:33.05,4472.68,4473.05,0.37,-29.9,1.00,0.020,386,gate chatter
74:33.21,74:33.67,4473.21,4473.67,0.46,-28.2,0.96,0.012,129,gate chatter
74:33.87,74:34.71,4473.87,4474.71,0.84,-39.1,0.97,0.012,13,"quiet, reference talking"
74:34.91,74:34.97,4474.91,4474.97,0.06,-46.4,0.97,0.000,,gate chatter
74:35.18,74:35.33,4475.18,4475.33,0.15,-59.1,0.90,0.053,557,gate chatter
74:35.64,74:35.72,4475.64,4475.72,0.08,-63.9,0.92,0.000,,gate chatter
74:35.87,74:36.13,4475.87,4476.13,0.26,-51.3,0.91,0.111,663,gate chatter
74:36.32,74:36.75,4476.32,4476.75,0.43,-39.6,0.98,0.037,145,gate chatter
74:37.65,74:37.92,4477.65,4477.92,0.27,-35.0,0.95,0.036,504,gate chatter
74:38.03,74:38.13,4478.03,4478.13,0.10,-49.0,0.97,0.047,520,gate chatter
74:38.25,74:38.82,4478.25,4478.82,0.57,-30.4,0.91,0.010,86,gate chatter
74:38.99,74:39.14,4478.99,4479.14,0.15,-34.8,0.80,0.026,395,gate chatter
74:39.85,74:39.91,4479.85,4479.91,0.06,-68.1,0.66,0.000,,gate chatter
74:40.24,74:40.53,4480.24,4480.53,0.29,-43.0,0.82,0.024,267,gate chatter
74:41.39,74:41.49,4481.39,4481.49,0.10,-44.9,0.92,0.030,119,gate chatter
74:42.04,74:42.34,4482.04,4482.34,0.30,-42.6,1.00,0.029,377,gate chatter
74:43.05,74:43.06,4483.05,4483.06,0.01,-76.8,1.00,0.000,,gate chatter
76:08.31,76:08.44,4568.31,4568.44,0.13,-54.6,1.00,0.043,495,gate chatter
79:08.74,79:08.84,4748.74,4748.84,0.10,-54.0,1.00,0.077,468,gate chatter
79:09.16,79:09.22,4749.16,4749.22,0.06,-61.0,1.00,0.000,,gate chatter
79:09.45,79:10.57,4749.45,4750.57,1.12,-32.0,0.99,0.075,44,"quiet, reference talking"
79:10.86,79:10.92,4750.86,4750.92,0.06,-66.4,0.98,0.000,,gate chatter
79:11.06,79:11.09,4751.06,4751.09,0.03,-65.7,0.90,0.000,,gate chatter
79:11.30,79:11.41,4751.30,4751.41,0.11,-44.6,0.70,0.042,32,gate chatter
79:11.68,79:11.70,4751.68,4751.70,0.02,-52.8,0.67,0.000,,gate chatter
79:12.20,79:12.21,4752.20,4752.21,0.01,-61.3,1.00,0.000,,gate chatter
79:12.57,79:12.63,4752.57,4752.63,0.06,-47.4,0.89,0.000,,gate chatter
79:12.77,79:12.91,4752.77,4752.91,0.14,-48.3,0.90,0.035,660,gate chatter
79:13.05,79:13.12,4753.05,4753.12,0.07,-52.5,0.87,0.000,,gate chatter
79:13.63,79:13.73,4753.63,4753.73,0.10,-51.6,0.88,0.076,456,gate chatter
79:14.37,79:14.56,4754.37,4754.56,0.19,-43.5,0.86,0.149,386,gate chatter
82:24.44,82:25.20,4944.44,4945.20,0.76,-11.9,0.59,0.057,675,next to bleed cluster
82:25.87,82:25.91,4945.87,4945.91,0.04,-81.2,0.95,0.000,,gate chatter
82:26.26,82:26.50,4946.26,4946.50,0.24,-13.5,0.99,0.097,107,next to bleed cluster
82:27.15,82:27.21,4947.15,4947.21,0.06,-81.7,0.89,0.000,,gate chatter
82:27.39,82:27.40,4947.39,4947.40,0.01,-84.2,0.54,0.000,,gate chatter
82:27.58,82:27.70,4947.58,4947.70,0.12,-82.5,0.58,0.070,661,gate chatter
82:28.05,82:28.81,4948.05,4948.81,0.76,-8.6,0.62,0.087,116,next to bleed cluster
82:39.40,82:39.67,4959.40,4959.67,0.27,-51.7,1.00,0.036,356,gate chatter
82:40.27,82:40.58,4960.27,4960.58,0.31,-50.0,0.87,0.048,269,gate chatter
82:40.69,82:40.80,4960.69,4960.80,0.11,-45.3,0.89,0.040,141,gate chatter
82:41.36,82:41.58,4961.36,4961.58,0.22,-53.0,0.75,0.064,582,gate chatter
82:42.54,82:43.18,4962.54,4963.18,0.64,-39.4,1.00,0.060,54,"quiet, reference talking"
82:43.98,82:44.19,4963.98,4964.19,0.21,-45.2,0.92,0.039,324,gate chatter
82:44.53,82:44.54,4964.53,4964.54,0.01,-73.0,0.96,0.000,,gate chatter
82:44.72,82:44.86,4964.72,4964.86,0.14,-50.7,0.96,0.060,146,gate chatter
82:45.12,82:45.14,4965.12,4965.14,0.02,-65.6,0.95,0.000,,gate chatter
82:45.72,82:45.78,4965.72,4965.78,0.06,-60.0,1.00,0.000,,gate chatter
82:45.95,82:45.97,4965.95,4965.97,0.02,-62.8,0.95,0.000,,gate chatter
82:46.11,82:46.21,4966.11,4966.21,0.10,-64.1,0.95,0.088,47,gate chatter
84:24.35,84:24.42,5064.35,5064.42,0.07,-77.7,0.94,0.000,,gate chatter
84:24.66,84:26.00,5064.66,5066.00,1.34,-40.9,0.89,0.018,557,sustained low level under reference
84:26.12,84:26.88,5066.12,5066.88,0.76,-25.0,0.99,0.094,392,"quiet, reference talking"
84:26.99,84:30.48,5066.99,5070.48,3.49,-40.3,0.95,0.021,46,sustained low level under reference
84:30.81,84:31.11,5070.81,5071.11,0.30,-79.9,1.00,0.039,113,gate chatter
84:31.28,84:31.52,5071.28,5071.52,0.24,-57.8,1.00,0.065,579,gate chatter
84:31.64,84:31.65,5071.64,5071.65,0.01,-82.6,1.00,0.000,,gate chatter
84:32.05,84:32.15,5072.05,5072.15,0.10,-77.0,0.83,0.055,7,gate chatter
84:32.54,84:32.63,5072.54,5072.63,0.09,-75.1,0.95,0.000,,gate chatter
84:32.78,84:33.11,5072.78,5073.11,0.33,-65.3,0.98,0.080,135,gate chatter
84:33.24,84:33.34,5073.24,5073.34,0.10,-69.7,0.97,0.083,588,gate chatter
84:33.76,84:33.82,5073.76,5073.82,0.06,-76.9,1.00,0.000,,gate chatter
84:33.98,84:34.06,5073.98,5074.06,0.08,-78.4,0.78,0.000,,gate chatter
84:34.21,84:34.30,5074.21,5074.30,0.09,-73.4,0.58,0.000,,gate chatter
84:34.42,84:34.54,5074.42,5074.54,0.12,-51.3,0.67,0.005,668,gate chatter
84:34.73,84:34.79,5074.73,5074.79,0.06,-70.7,0.98,0.000,,gate chatter
84:35.34,84:35.35,5075.34,5075.35,0.01,-82.9,1.00,0.000,,gate chatter
84:35.75,84:35.79,5075.75,5075.79,0.04,-79.1,0.83,0.000,,gate chatter
84:35.90,84:36.35,5075.90,5076.35,0.45,-67.8,0.90,0.042,659,gate chatter
84:36.59,84:36.67,5076.59,5076.67,0.08,-76.7,1.00,0.000,,gate chatter
84:37.18,84:37.59,5077.18,5077.59,0.41,-69.1,0.95,0.028,5,gate chatter
84:37.96,84:38.35,5077.96,5078.35,0.39,-56.6,1.00,0.065,103,gate chatter
84:38.46,84:38.68,5078.46,5078.68,0.22,-58.3,1.00,0.026,186,gate chatter
84:38.89,84:38.98,5078.89,5078.98,0.09,-67.0,0.92,0.000,,gate chatter
84:39.32,84:39.43,5079.32,5079.43,0.11,-71.2,0.83,0.040,12,gate chatter
84:39.91,84:39.96,5079.91,5079.96,0.05,-78.3,0.98,0.000,,gate chatter
84:40.43,84:40.77,5080.43,5080.77,0.34,-58.9,0.97,0.026,52,gate chatter
84:41.01,84:41.13,5081.01,5081.13,0.12,-67.1,0.96,0.048,315,gate chatter
84:41.25,84:41.43,5081.25,5081.43,0.18,-73.2,1.00,0.037,95,gate chatter
84:48.36,84:48.40,5088.36,5088.40,0.04,-77.5,0.90,0.000,,gate chatter
84:48.69,84:48.90,5088.69,5088.90,0.21,-53.5,1.00,0.068,176,gate chatter
85:02.33,85:02.39,5102.33,5102.39,0.06,-70.9,0.93,0.000,,gate chatter
85:02.52,85:02.57,5102.52,5102.57,0.05,-71.5,0.93,0.000,,gate chatter
85:14.43,85:14.86,5114.43,5114.86,0.43,-20.4,0.94,0.114,480,gate chatter
85:14.99,85:15.08,5114.99,5115.08,0.09,-51.3,1.00,0.000,,gate chatter
85:21.71,85:22.37,5121.71,5122.37,0.66,-21.9,0.93,0.082,189,sustained low level under reference
85:26.47,85:26.52,5126.47,5126.52,0.05,-44.1,0.93,0.000,,gate chatter
85:30.61,85:30.76,5130.61,5130.76,0.15,-29.0,0.00,0.000,,next to bleed cluster
85:31.04,85:31.39,5131.04,5131.39,0.35,-50.6,0.34,0.048,678,next to bleed cluster
85:31.53,85:31.73,5131.53,5131.73,0.20,-39.4,0.73,0.040,442,gate chatter
85:31.84,85:32.26,5131.84,5132.26,0.42,-56.4,0.75,0.040,523,gate chatter
85:32.47,85:32.48,5132.47,5132.48,0.01,-73.0,0.61,0.000,,gate chatter
85:32.72,85:32.81,5132.72,5132.81,0.09,-54.6,0.77,0.000,,gate chatter
85:32.96,85:33.11,5132.96,5133.11,0.15,-51.9,0.91,0.048,171,gate chatter
85:33.39,85:33.43,5133.39,5133.43,0.04,-53.2,0.98,0.000,,gate chatter
85:33.60,85:33.65,5133.60,5133.65,0.05,-52.5,0.98,0.000,,gate chatter
85:34.23,85:34.40,5134.23,5134.40,0.17,-40.4,0.92,0.114,474,gate chatter
85:34.51,85:34.73,5134.51,5134.73,0.22,-44.2,0.96,0.074,305,gate chatter
85:35.08,85:35.16,5135.08,5135.16,0.08,-47.5,0.89,0.000,,gate chatter
85:35.43,85:35.49,5135.43,5135.49,0.06,-58.9,0.95,0.000,,gate chatter
85:35.67,85:35.69,5135.67,5135.69,0.02,-67.3,0.95,0.000,,gate chatter
85:35.81,85:36.22,5135.81,5136.22,0.41,-50.0,0.99,0.024,334,gate chatter
85:36.35,85:36.41,5136.35,5136.41,0.06,-58.2,1.00,0.000,,gate chatter
85:36.59,85:36.68,5136.59,5136.68,0.09,-48.7,1.00,0.000,,gate chatter
85:36.79,85:37.08,5136.79,5137.08,0.29,-40.0,0.99,0.034,142,gate chatter
85:37.43,85:37.57,5137.43,5137.57,0.14,-48.7,0.74,0.050,18,gate chatter
85:37.73,85:37.83,5137.73,5137.83,0.10,-47.2,0.71,0.114,467,gate chatter
85:37.95,85:38.08,5137.95,5138.08,0.13,-49.4,0.78,0.076,683,gate chatter
85:38.24,85:38.31,5138.24,5138.31,0.07,-40.4,0.95,0.000,,gate chatter
85:38.44,85:38.49,5138.44,5138.49,0.05,-59.3,0.97,0.000,,gate chatter
85:38.86,85:38.91,5138.86,5138.91,0.05,-55.8,1.00,0.000,,gate chatter
85:39.12,85:39.21,5139.12,5139.21,0.09,-43.1,1.00,0.000,,gate chatter
85:39.36,85:39.46,5139.36,5139.46,0.10,-54.9,1.00,0.059,683,gate chatter
85:39.61,85:39.66,5139.61,5139.66,0.05,-58.9,1.00,0.000,,gate chatter
85:39.77,85:39.78,5139.77,5139.78,0.01,-78.6,0.96,0.000,,gate chatter
85:40.30,85:40.35,5140.30,5140.35,0.05,-47.1,0.73,0.000,,gate chatter
85:41.08,85:41.14,5141.08,5141.14,0.06,-49.3,1.00,0.000,,gate chatter
85:41.43,85:42.00,5141.43,5142.00,0.57,-25.3,0.93,0.012,263,gate chatter
85:42.12,85:42.29,5142.12,5142.29,0.17,-51.5,0.85,0.150,613,gate chatter
85:42.48,85:42.58,5142.48,5142.58,0.10,-41.8,0.89,0.118,408,gate chatter
85:42.70,85:42.76,5142.70,5142.76,0.06,-51.5,0.97,0.000,,gate chatter
85:42.95,85:43.24,5142.95,5143.24,0.29,-55.7,0.98,0.056,244,gate chatter
85:43.38,85:43.55,5143.38,5143.55,0.17,-41.0,0.94,0.044,458,gate chatter
85:44.21,85:44.79,5144.21,5144.79,0.58,-44.9,0.98,0.031,135,gate chatter
85:44.91,85:44.95,5144.91,5144.95,0.04,-61.2,0.97,0.000,,gate chatter
86:07.36,86:07.44,5167.36,5167.44,0.08,-32.9,0.97,0.000,,gate chatter
86:07.57,86:08.02,5167.57,5168.02,0.45,-11.5,0.62,0.134,439,next to bleed cluster
87:55.29,87:55.39,5275.29,5275.39,0.10,-64.9,0.97,0.025,8,gate chatter
87:56.52,87:56.80,5276.52,5276.80,0.28,-72.0,0.96,0.039,226,gate chatter
87:57.18,87:57.33,5277.18,5277.33,0.15,-35.7,0.96,0.031,47,gate chatter
87:57.45,87:57.56,5277.45,5277.56,0.11,-43.3,1.00,0.051,261,gate chatter
87:57.79,87:57.87,5277.79,5277.87,0.08,-46.2,1.00,0.000,,gate chatter
87:57.98,87:58.02,5277.98,5278.02,0.04,-50.2,1.00,0.000,,gate chatter
87:58.57,87:58.61,5278.57,5278.61,0.04,-57.6,1.00,0.000,,gate chatter
87:58.93,87:59.10,5278.93,5279.10,0.17,-50.6,1.00,0.057,96,gate chatter
87:59.87,87:59.89,5279.87,5279.89,0.02,-73.6,0.96,0.000,,gate chatter
88:00.16,88:00.22,5280.16,5280.22,0.06,-40.3,1.00,0.000,,gate chatter
88:00.71,88:00.76,5280.71,5280.76,0.05,-59.4,1.00,0.000,,gate chatter
88:01.12,88:01.15,5281.12,5281.15,0.03,-63.9,1.00,0.000,,gate chatter
88:01.57,88:02.54,5281.57,5282.54,0.97,-34.5,1.00,0.032,443,"quiet, reference talking"
88:02.68,88:02.93,5282.68,5282.93,0.25,-28.7,0.94,0.019,163,gate chatter
88:03.13,88:03.67,5283.13,5283.67,0.54,-38.3,0.90,0.131,144,gate chatter
88:03.99,88:04.00,5283.99,5284.00,0.01,-68.4,0.91,0.000,,gate chatter
88:04.52,88:04.54,5284.52,5284.54,0.02,-61.1,0.95,0.000,,gate chatter
88:04.68,88:05.07,5284.68,5285.07,0.39,-29.4,1.00,0.027,475,gate chatter
88:05.26,88:05.38,5285.26,5285.38,0.12,-48.1,0.99,0.076,424,gate chatter
88:05.70,88:05.78,5285.70,5285.78,0.08,-42.5,0.94,0.000,,gate chatter
88:05.95,88:05.98,5285.95,5285.98,0.03,-67.8,0.86,0.000,,gate chatter
88:06.10,88:06.16,5286.10,5286.16,0.06,-64.4,0.77,0.000,,gate chatter
88:06.63,88:06.73,5286.63,5286.73,0.10,-31.6,0.91,0.033,185,gate chatter
88:06.96,88:07.01,5286.96,5287.01,0.05,-49.1,1.00,0.000,,gate chatter
88:07.21,88:07.26,5287.21,5287.26,0.05,-47.3,0.98,0.000,,gate chatter
88:07.76,88:07.93,5287.76,5287.93,0.17,-44.1,0.81,0.074,208,gate chatter
88:08.07,88:08.27,5288.07,5288.27,0.20,-35.5,0.79,0.053,474,gate chatter
88:08.69,88:09.15,5288.69,5289.15,0.46,-55.7,0.99,0.044,609,gate chatter
88:09.47,88:09.52,5289.47,5289.52,0.05,-56.5,0.95,0.000,,gate chatter
88:15.91,88:16.07,5295.91,5296.07,0.16,-50.5,0.92,0.102,581,gate chatter
88:17.32,88:17.54,5297.32,5297.54,0.22,-38.4,0.94,0.020,215,gate chatter
88:22.95,88:23.09,5302.95,5303.09,0.14,-40.1,0.94,0.056,157,gate chatter
88:23.82,88:23.86,5303.82,5303.86,0.04,-71.2,0.92,0.000,,gate chatter
88:24.05,88:24.32,5304.05,5304.32,0.27,-41.3,1.00,0.013,552,gate chatter
88:24.46,88:24.53,5304.46,5304.53,0.07,-53.3,1.00,0.000,,gate chatter
88:26.04,88:26.30,5306.04,5306.30,0.26,-36.2,0.99,0.032,42,gate chatter
88:26.43,88:26.88,5306.43,5306.88,0.45,-32.5,1.00,0.022,172,gate chatter
88:26.99,88:27.41,5306.99,5307.41,0.42,-54.7,1.00,0.047,201,gate chatter
88:27.54,88:27.90,5307.54,5307.90,0.36,-33.5,0.98,0.021,570,gate chatter
88:28.23,88:28.63,5308.23,5308.63,0.40,-33.4,0.92,0.038,170,gate chatter
88:28.81,88:28.82,5308.81,5308.82,0.01,-72.7,0.89,0.000,,gate chatter
88:29.86,88:30.21,5309.86,5310.21,0.35,-38.6,0.99,0.256,444,gate chatter
88:31.24,88:31.43,5311.24,5311.43,0.19,-54.8,1.00,0.095,150,gate chatter
88:32.94,88:33.45,5312.94,5313.45,0.51,-28.4,0.92,0.041,199,gate chatter
88:34.13,88:34.46,5314.13,5314.46,0.33,-57.2,0.58,0.070,2,gate chatter
88:34.68,88:34.69,5314.68,5314.69,0.01,-62.1,0.61,0.000,,gate chatter
89:37.05,89:37.15,5377.05,5377.15,0.10,-29.2,0.95,0.086,480,gate chatter
89:37.78,89:38.23,5377.78,5378.23,0.45,-15.9,0.97,0.081,616,next to bleed cluster
89:43.44,89:43.70,5383.44,5383.70,0.26,-42.8,0.72,0.036,6,gate chatter
89:43.89,89:43.94,5383.89,5383.94,0.05,-56.8,0.73,0.000,,gate chatter
90:00.60,90:00.87,5400.60,5400.87,0.27,-33.4,1.00,0.033,336,gate chatter
90:01.10,90:01.28,5401.10,5401.28,0.18,-48.7,0.97,0.105,496,gate chatter
